burial,n_pep_contacted,chain_balance,n_hbond,F_cdr12,F_cdr3a
1955.8964990501772,8,0.4827586206896552,8,-0.51365670882273,0.1550104885858619
1841.1836183484556,6,0.4761904761904761,3,-0.4080316778952664,-0.7113706726173536
1981.782669595501,7,0.2222222222222222,2,0.9230284081085676,-0.6749008902330198
1351.4828620546214,4,0.0,5,-0.173629285550024,0.0
2059.2661568214935,8,0.4166666666666667,4,-2.7008469779133315,-1.731187966584305
1789.338379742032,5,0.4210526315789473,3,-0.040030417018506,-0.6741505257779027
2033.4063505217416,7,0.4347826086956521,2,-2.32615352847192,-1.729298540626984
2014.163793925407,6,0.4444444444444444,5,1.5964393520687936,0.2569223583625658
1771.1509333218455,6,0.4615384615384615,2,-0.2763625267191269,0.3669150181794271
1984.2090723982983,7,0.3333333333333333,4,-0.1414995622737,0.805830488661876
2239.7033549512125,5,0.4,2,-0.4018318017939173,-0.6840923799989858
2016.1926721604175,6,0.4444444444444444,5,1.5964393520687936,0.2569223583625658
1562.179528765446,4,0.2222222222222222,1,0.0,-0.1773404715187544
1510.9137380743014,5,0.3684210526315789,4,-3.04881002727373,-0.5447400287074504
1947.4526142804864,8,0.4642857142857143,4,-0.51365670882273,-0.0459065426331696
1968.009475012881,8,0.4838709677419355,9,-0.51365670882273,-0.2775444483790661
1779.753166927636,8,0.2857142857142857,4,-0.5534782030094016,0.1550104885858618
1846.156571023552,7,0.2941176470588235,4,0.2681453986067775,-0.6382649277711118
1967.7558982202063,8,0.3225806451612903,2,-0.6903093338082681,-0.6130969095433936
2187.771534051153,10,0.4090909090909091,3,-0.3033581347384904,0.9516669631481118
1820.9638756406312,7,0.4444444444444444,10,-1.7333155116263637,-0.693768505331247
2072.52240861615,5,0.4827586206896552,6,-0.138660305673265,-2.469230076699159
2041.7547057420015,6,0.5,6,-0.423260711587638,-2.5864345760362535
1973.4944695913327,6,0.4117647058823529,4,0.5325235953856877,0.2569223583625658
